Site,Species,Occurrence,,,,,
8,HETSUB,0,,,,,
8,ANDGLO,0,,,,,
8,CYPROT,0,,,,,
8,EUSPET,0,,,,,
8,OENDRU,0,,,,,
8,OPUDRU,0,,,,,
8,SPOVIR,0,,,,,
8,SUAMAR,0,,,,,
8,ASTSPP,0,,,,,
9,CROPUN,4,1,,,,
9,SPARPAT,8,1,,,,
9,HYDBON,4,1,,,,
9,PITGRA,1,1,,,,
9,SMIAUR,3,1,,,,
9,MUHCAP,2,1,,,,
9,RUBTRI,2,1,,,,
9,PANAMA,0,,,,,
9,UNIPAN,0,,,,,
9,PHYNOD,0,,,,,
9,YUCGLO,0,,,,,
9,IPOPES,0,,,,,
9,PINTAE,0,,,,,
9,TRIPUR,0,,,,,
9,SALKAL,0,,,,,
9,DISSPI,0,,,,,
9,SENSPI,0,,,,,
9,HETSUB,0,,,,,
9,ANDGLO,0,,,,,
9,CYPROT,0,,,,,
9,EUSPET,0,,,,,
9,OENDRU,0,,,,,
9,OPUDRU,0,,,,,
9,SPOVIR,0,,,,,
9,SUAMAR,0,,,,,
9,ASTSPP,0,,,,,
10,CROPUN,2,1,,,,
10,SPARPAT,4,1,,,,
10,HYDBON,0,,,,,
10,PITGRA,4,1,,,,
10,SMIAUR,1,1,,,,
10,MUHCAP,2,1,,,,
10,RUBTRI,4,1,,,,
10,PANAMA,1,1,,,,
10,UNIPAN,0,,,,,
10,PHYNOD,0,,,,,
10,YUCGLO,0,,,,,
10,IPOPES,0,,,,,
10,PINTAE,0,,,,,
10,TRIPUR,2,1,,,,
10,SALKAL,0,,,,,
10,DISSPI,0,,,,,
10,SENSPI,1,1,,,,
10,HETSUB,0,,,,,
10,ANDGLO,0,,,,,
10,CYPROT,0,,,,,
10,EUSPET,2,1,,,,
10,OENDRU,0,,,,,
10,OPUDRU,2,1,,,,
10,SPOVIR,0,,,,,
10,SUAMAR,0,,,,,
10,ASTSPP,1,1,,,,
